Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3338
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),1.0000
Water Temp (deg C),24.40
Room Temp (deg C),24.63
Water Volume (L),2.0
Wire Before (g),0.022
Wire After (g),0.012
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.41
60.00,24.40
90.00,24.41
120.00,24.41
150.00,24.38
180.00,24.39
210.00,24.42
240.00,24.39
270.00,24.38
300.00,24.41
330.00,24.92
360.00,25.68
390.00,26.24
420.00,26.61
450.00,26.81
480.00,26.92
510.00,27.01
540.00,27.01
570.00,27.05
600.00,27.04
630.00,27.05
660.00,27.05
690.00,27.04
720.00,27.07
750.00,27.03
780.00,27.07
810.00,27.04
840.00,27.03
870.00,27.04
900.00,27.03
930.00,27.04
960.00,27.05
