Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3338
Sample Name,Capric Acid
Formula,C10H20O2
Molecular Weight (g/mol),172.257
Sample Weight (g),1.0000
Water Temp (deg C),24.40
Room Temp (deg C),22.96
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.022
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.39
60.00,24.41
90.00,24.40
120.00,24.38
150.00,24.39
180.00,24.37
210.00,24.39
240.00,24.38
270.00,24.41
300.00,24.38
330.00,25.06
360.00,26.08
390.00,26.86
420.00,27.31
450.00,27.60
480.00,27.75
510.00,27.85
540.00,27.89
570.00,27.91
600.00,27.90
630.00,27.90
660.00,27.90
690.00,27.91
720.00,27.93
750.00,27.90
780.00,27.92
810.00,27.91
840.00,27.92
870.00,27.91
900.00,27.89
930.00,27.88
960.00,27.88
