Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3338
Sample Name,Maleic Acid
Formula,C4H4O4
Molecular Weight (g/mol),116.052
Sample Weight (g),1.0000
Water Temp (deg C),24.40
Room Temp (deg C),24.19
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.024
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.38
60.00,24.41
90.00,24.39
120.00,24.41
150.00,24.39
180.00,24.43
210.00,24.41
240.00,24.42
270.00,24.40
300.00,24.42
330.00,24.61
360.00,24.98
390.00,25.22
420.00,25.37
450.00,25.46
480.00,25.51
510.00,25.56
540.00,25.57
570.00,25.58
600.00,25.57
630.00,25.56
660.00,25.59
690.00,25.57
720.00,25.59
750.00,25.58
780.00,25.56
810.00,25.57
840.00,25.57
870.00,25.59
900.00,25.60
930.00,25.56
960.00,25.57
