Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3338
Sample Name,Naphthalene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),1.0000
Water Temp (deg C),24.40
Room Temp (deg C),25.39
Water Volume (L),2.0
Wire Before (g),0.029
Wire After (g),0.027
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.42
60.00,24.40
90.00,24.41
120.00,24.40
150.00,24.40
180.00,24.41
210.00,24.40
240.00,24.41
270.00,24.40
300.00,24.42
330.00,25.17
360.00,26.35
390.00,27.20
420.00,27.74
450.00,28.06
480.00,28.24
510.00,28.34
540.00,28.40
570.00,28.44
600.00,28.42
630.00,28.46
660.00,28.43
690.00,28.44
720.00,28.43
750.00,28.44
780.00,28.44
810.00,28.43
840.00,28.41
870.00,28.42
900.00,28.42
930.00,28.41
960.00,28.42
