Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3338
Sample Name,Palmitic Acid
Formula,C16H32O2
Molecular Weight (g/mol),256.419
Sample Weight (g),1.0000
Water Temp (deg C),24.40
Room Temp (deg C),24.94
Water Volume (L),2.0
Wire Before (g),0.023
Wire After (g),0.018
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.39
60.00,24.38
90.00,24.40
120.00,24.39
150.00,24.41
180.00,24.42
210.00,24.42
240.00,24.39
270.00,24.41
300.00,24.42
330.00,25.15
360.00,26.30
390.00,27.14
420.00,27.64
450.00,27.94
480.00,28.12
510.00,28.22
540.00,28.27
570.00,28.31
600.00,28.30
630.00,28.32
660.00,28.32
690.00,28.32
720.00,28.31
750.00,28.29
780.00,28.30
810.00,28.31
840.00,28.28
870.00,28.31
900.00,28.28
930.00,28.30
960.00,28.29
