Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3338
Sample Name,Sucrose
Formula,C12H22O11
Molecular Weight (g/mol),342.241
Sample Weight (g),1.0000
Water Temp (deg C),24.40
Room Temp (deg C),25.40
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.023
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.39
60.00,24.42
90.00,24.42
120.00,24.40
150.00,24.43
180.00,24.41
210.00,24.42
240.00,24.41
270.00,24.42
300.00,24.40
330.00,24.73
360.00,25.20
390.00,25.57
420.00,25.80
450.00,25.91
480.00,26.01
510.00,26.02
540.00,26.04
570.00,26.08
600.00,26.08
630.00,26.08
660.00,26.08
690.00,26.09
720.00,26.07
750.00,26.09
780.00,26.09
810.00,26.09
840.00,26.07
870.00,26.06
900.00,26.06
930.00,26.05
960.00,26.05
