Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3338
Sample Name,α-D-Glucose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),1.0000
Water Temp (deg C),24.40
Room Temp (deg C),25.52
Water Volume (L),2.0
Wire Before (g),0.023
Wire After (g),0.015
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.41
60.00,24.41
90.00,24.39
120.00,24.39
150.00,24.39
180.00,24.39
210.00,24.39
240.00,24.39
270.00,24.39
300.00,24.39
330.00,24.72
360.00,25.15
390.00,25.49
420.00,25.72
450.00,25.81
480.00,25.91
510.00,25.94
540.00,25.96
570.00,25.95
600.00,25.98
630.00,25.98
660.00,25.98
690.00,25.97
720.00,25.97
750.00,25.96
780.00,25.96
810.00,25.98
840.00,25.99
870.00,25.97
900.00,25.98
930.00,25.96
960.00,25.95
